Начало,Конец,Город,название,Описание,Возрастной рейтинг,Ссылка,Название фандома/фильма/аниме,Активность,Контент,Музыка
11/18/2023,11/18/2023,Пенза,Hikari FEST,"азиатская культура, косплей",нет,https://anime-conventions.ru/cities/2023.html,-,косплей,ярмарка,Cover-dance
11/19/2023,11/19/2023,Москва,Хатсунэ reunion ,"каверденс, аллея авторов",6+,https://anime-conventions.ru/cities/2023.html,-, -,,Cover-dance
11/25/2023,11/25/2023,Тольятти,Кайга-fest,"молодежная азиатская культура, аниме, k-pop, видеоигры, настольные игры, just dance",нет,https://anime-conventions.ru/cities/2023.html,-,настольные игры,-,Just-dance
11/26/2023,11/26/2023,Москва,GeekVision ,"Sci-fi, комиксы, косплей, фантастическая литература, фэнтези-кино",нет,https://anime-conventions.ru/cities/2023.html,-,косплей, комиксы,-
11/26/2023,11/26/2023,Санкт-Петербург,iM-fFa Fest ,Великий шоумен,12+,https://anime-conventions.ru/cities/2023.html,Великий шоумен,-,аниме,-
12/2/2023,12/2/2023,Казань,Yokai Kabuki - Комедийная Арка ,"Произведения или персонажи, которые имеют прямое отношение к комедии и юмору",12+,https://anime-conventions.ru/cities/2023.html,-,косплей,аниме,караоке
12/9/2023,12/9/2023,Киров,UMAMI ,"мэйдо, горничные, аниме «Садистская смесь», дворецкие",12+,https://anime-conventions.ru/cities/2023.html,Садистская смесь,косплей,комиксы,-
12/9/2023,12/9/2023,Москва,MITSSURI ,Фестиваль азиатской культуры и аниме,12+,https://anime-conventions.ru/cities/2023.html,-,косплей,мастер-класс,-
12/9/2023,12/10/2023,Санкт-Петербург,AniCon XMAS ,"""Чёрное и Белое"", косплей, вокал",13+,https://anime-conventions.ru/cities/2023.html,-,косплей,ярмарка,-
12/9/2023,12/10/2023,Челябинск,URAL ASIAN FEST. Anime day ,"Хаяо Миядзаки - ""Мальчик и птица""",нет,https://anime-conventions.ru/cities/2023.html,Хаяо Миядзаки,-,аниме,-
12/10/2023,12/10/2023,Симферополь,The lil-Fest ~ Winter's Tale ~ ,"k-pop cover dance, косплей-дефиле",нет,https://anime-conventions.ru/cities/2023.html,-,косплей,аниме,K-pop
12/16/2023,12/16/2023,Уфа,NYAF ,"аниме, видеоигры, комиксы, кино, сериалы, настолки, k-pop",нет,https://anime-conventions.ru/cities/2023.html,-,настольные игры,комиксы,K-pop
12/17/2023,12/17/2023,Белгород,Новогодний фестиваль Лили-Мун 2023,Сейлор Мун,нет,https://anime-conventions.ru/cities/2023.html,Сейлор Мун,косплей,-,-
1/14/2024,1/14/2024,Нальчик,Аниме фестиваль『Ichi-Ni-San』,"аниме, к-поп, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,K-pop
1/21/2024,1/21/2024,Москва,Фестиваль косплея Тогучи ,"Косплей, аниме, манга, j-rock, уличная японская мода, западная и российская индустрия кино, книг, комиксов",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,"аниме, комиксы",-
1/27/2024,1/27/2024,Абакан,Fuyu no Tenshi - 冬の天使 ,"косплей, азиатская культура",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
1/27/2024,1/27/2024,Екатеринбург,Yusagi Fest: Last Christmas ,"азиатская культура, гик-культура, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
2/3/2024,2/3/2024,Новосибирск,Fuyu no Сosplay ,"косплей, комиксы, компьютерные игры, караоке",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,
2/3/2024,2/3/2024,Тула,Yuki no Odori 13,"восточно-азиатская культура, аниме, к-поп, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,K-pop
2/10/2024,2/10/2024,Краснодар,Saint Valentine Anifest,косплей,нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
2/10/2024,2/10/2024,Москва,Аниме К-поп Геншин пати от НЯпати ,"аниме, к-поп, Genshin Impact, косплей, OST, Рок, настольные игры",18+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,настольные игры,аниме,K-pop
2/17/2024,2/17/2024,Москва,Mi Amore Fest ,"My Little Pony, косплей, брони",14+,https://anime-conventions.ru/cities/2024.html,My Little Pony,косплей,-,-
2/17/2024,2/17/2024,Ростов-на-Дону,Косплей-шоу Нян-фест ,"аниме, к-поп, британские сериалы, отечественное и зарубежное фентези, классика, компьютерные игры, театр, литература",12+,https://anime-conventions.ru/cities/2024.html,-,-,аниме,K-pop
2/24/2024,2/24/2024,Вологда,ASIAVOL [VII] ,"азиатская культура, игры, комиксы, сериалы, косплей",12+,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,-
2/24/2024,2/24/2024,Красноярск,Yuan Xiao Fest ,"азиатская культура, китайский Новый год",0+,https://anime-conventions.ru/cities/2024.html,-,-,-,-
2/24/2024,2/24/2024,Уфа,ANIKOS Божественное начало ,ГИК-культура,12+,https://anime-conventions.ru/cities/2024.html,-,-,-,-
3/2/2024,3/2/2024,Тольятти,ROCKZ ASIAN FEST ,"азиатская культура, аниме, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,
3/3/2024,3/3/2024,Новосибирск,Bungou 7 Cats | FEST,"манга, косплей и аниме ""Бродячие псы""",нет,https://anime-conventions.ru/cities/2024.html,Великий из бродячих псов,косплей,аниме,-
3/9/2024,3/9/2024,Воронеж,Happy Matsuri ,"аниме, K-pop, игры, сериалы",12+,https://anime-conventions.ru/cities/2024.html,-,-,аниме,K-pop
3/10/2024,3/10/2024,Брест,Кампай Брест ,"аниме, косплей, к-поп, караоке, Just Dance, консольные игры PS4",12+,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,караоке
3/22/2024,3/22/2024,Москва,Аниме К-поп и Геншин пати от НЯпати ,"аниме, к-поп, Genshin Impact, косплей, OST, Рок, настольные игры",18+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,настольные игры,аниме,K-pop
3/23/2024,3/23/2024,Новосибирск,UNICORN,"к-поп, косплей, поп-культура",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,K-pop
3/30/2024,3/31/2024,Казань,Fenix ,аниме,нет,https://anime-conventions.ru/cities/2024.html,-,-,аниме,-
3/31/2024,3/31/2024,Москва,Аниме К-поп Геншин вечеринка от НЯпати,"аниме, к-поп, косплей, настольные игры",нет,https://anime-conventions.ru/cities/2024.html,-,настольные игры,аниме,K-pop
4/6/2024,4/6/2024,Москва,Аниме К-поп и Геншин пати от НЯпати ,"аниме, к-поп, Genshin Impact, косплей, OST, Рок, настольные игры",18+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,аниме,K-pop
4/6/2024,4/7/2024,Москва, Geek.On Impact и Geek.On,"настольные игры, косплей, гик-культура",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
4/13/2024,4/13/2024,Архангельск,Фестиваль восточной культуры Анимия ,"восточная культура, косплей, танцы",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
4/13/2024,4/13/2024,Рязань,CorGEEK fest ,"косплей, аниме",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,-
4/20/2024,4/20/2024,Москва,Аниме К-поп и Геншин пати от НЯпати,"аниме, к-поп, Genshin Impact, косплей, OST, Рок, настольные игры", 18+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,настольные игры,аниме,K-pop
4/20/2024,4/20/2024,Москва,MITSSURI ,"азиатская культура, аниме, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,-
4/20/2024,4/20/2024,Тюмень,Kitsune-con ,"косплей, танцы, аниме",12+,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,-
4/27/2024,4/27/2024,Серпухов,CrossFandomFest ,"аниме, к-поп, косплей, настольные игры",нет,https://anime-conventions.ru/cities/2024.html,-,настольные игры,аниме,K-pop
4/28/2024,4/28/2024,Москва,Аниме К-поп Геншин вечеринка от НЯпати,"аниме, к-поп, Genshin Impact, косплей",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,аниме,K-pop
5/4/2024,5/4/2024,Москва,Аниме К-поп и Геншин пати от НЯпати ,"аниме, к-поп, Genshin Impact, косплей, OST, Рок, настольные игры",18+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,аниме,K-pop
5/4/2024,5/5/2024,Москва,Драконий пик ,"китайская культура, книги, игры (Honkai, Genshin), дорамы",14+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,-,-,-
5/4/2024,5/4/2024,Нижний Новгород,FAN FAN ,"фильмы, игры, комиксы, аниме и косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,-
5/11/2024,5/11/2024,Волгоград,O.M.G. Fest Мультивселенная,"Косплей, к-поп, книги",14+,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,-
5/11/2024,5/11/2024,Москва,Аниме К-поп и Геншин вечеринка от НЯпати ,"Косплей, аниме, к-поп, Genshin Impact",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,аниме,K-pop
5/11/2024,5/11/2024,Серпухов,AniWorld Fest ,"Косплей, аниме",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,-
5/12/2024,5/12/2024,Москва,Фестиваль косплея Тогучи ,"Косплей, аниме, манга, j-rock, уличная японская мода, западная и российская индустрия кино, книг, комиксов",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,-
5/18/2024,5/18/2024,Пенза,HIGUMA ,Косплей,нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
5/18/2024,5/18/2024,Челябинск,Ural Geek Fest,"Майор Гром, Комиксы",12+,https://anime-conventions.ru/cities/2024.html,Майор Гром,-,комиксы,-
6/9/2024,6/9/2024,Москва,Косплей Аниме К-поп и Геншин вечеринка от НЯпати ,"аниме, к-поп, Genshin Impact",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,-,аниме,K-pop
6/23/2024,6/23/2024,Севастополь,~ Mirai Fest ~ ,Хаяо Миядзаки,13+,https://anime-conventions.ru/cities/2024.html,Хаяо Миядзаки,-,-,-
6/24/2024,6/24/2024,Протвино,ANIWORLD-FEST ,"косплей, Настольные игры, аниме",нет,https://anime-conventions.ru/cities/2024.html,-,"косплей, настольные игры",аниме,-
6/29/2024,6/29/2024,Москва,Аниме К-поп и Геншин пати от НЯпати ,"K-pop, Genshin Impact, косплей, аниме, арм-реслинг, игры, настольные игры",18+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,"косплей, настольные игры",аниме,K-pop
7/6/2024,7/6/2024,Благовещенск,Косплей фестиваль HATORI ,"Косплей, кавердэнс, мультипликация, игры, книги",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,Cover-dance
7/7/2024,7/7/2024,Санкт-Петербург,Hanami fest ,"k-pop, genshin, современная культура Азии, аниме, игры, гик-культура, Cover dance, косплей, Мейд-кафе",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей ,аниме,Cover-dance
8/3/2024,8/3/2024,Красноярск,Fuurin Cosplay Festival ,"гик-культура, косплей",12+,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
8/10/2024,8/11/2024,Москва,ISEKAI FEST ,"азиатская поп-культура, аниме, чайная церемония, японская каллиграфия, кимоно, видеоигры, косплей, кавер-дэнс, Gran Saga, Амура, Синяя тюрьма: Блю Лок — Эпизод Наги, Винокурня семьи Комада, Ghibli, Атака титанов, Ди.Грэй-мен, Путешествие к бессмертию, Хикару и Го, Слабый герой, История дворца Куньнин, Слабейший монстр",12+,https://anime-conventions.ru/cities/2024.html,Хаяо Миядзаки,косплей,мастер-классы,Cover-dance
8/17/2024,8/17/2024,Ижевск,TOFU ,"гик-культура, косплей, Genshin Impact, Майор Гром: Чумной Доктор, Алиса в Стране Чудес, Stray Kids, Fate: Grand Order, Рик и Морти, BLACKPINK, BABYMONSTER, STAR WARS, Hyakka Hyakurou, ROSÉ",нет,https://anime-conventions.ru/cities/2024.html,Майор Гром,косплей,-,-
8/17/2024,8/17/2024,Пенза,Сурский косплей-фестиваль Ajisai ,"косплей, гик-культура, настольные игры, D&D, Hoyoverse, Harry Potter, Вселенная Стивена, Время Приключений, Хололайв, Приключения Фионы и Кейка, Финес и Ферб, Дом совы, Геншин Импакт, Хонкай Стар Рейл, Провожающая в последний путь Фрирен, Леди Баг и Супер Кот, Великий из бродячих псов",12+,https://anime-conventions.ru/cities/2024.html,Великий из бродячих псов,настольные игры,-,-
8/23/2024,8/23/2024,Мурманск,Косплей фестиваль Сияние Севера ,"k-pop, genshin, косплей",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,-,K-pop
8/24/2024,8/24/2024,посёлок Пионерский,«RunFest» Likoris,"k-pop, косплей, аниме",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,K-pop
8/24/2024,8/24/2024,Москва,ANIWORLD-FEST ,"косплей, аниме, компьютерные игры",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,-
8/30/2024,8/31/2024,Екатеринбург,ГикКон ,"гик-культура, Атака Титанов, Blazerush",нет,https://anime-conventions.ru/cities/2024.html,Атака Титанов,-,-,-
9/13/2024,9/15/2024,Минск,UniCon & GameExpo Minsk ,"косплей, игровые инди-проекты, D&D, Фильм ""Нечто"", METRO: Exodus, S.T.A.L.K.E.R., Honkai: Star Rail, Till the End of the Moon, Spy Family, Assassin’s Creed, Genshin Impact, The Last of Us, Гарри Поттер, Сериал ""В поле зрения"", Dragon age: Inquisition, Doctor Who, Магистр Дьявольского Культа, Life is strange, Devil May Cry, Baldur's Gate 3, League of Legends, Драконы тоже люди, Медальон теней",нет,https://anime-conventions.ru/cities/2024.html,Гарри Поттер,косплей,-,-
9/14/2024,9/15/2024,Омск,Oma-Con ,"косплей, музыка, аниме, танцы, игры, настольные игры, Манчкин, Эпичные схватки боевых магов, хацуне мику, Hataraku Maou-sama!, Система спаси себя сам для главного злодея, Подземелье Вкусностей, hunter x hunter, Genshin impact, Великий из бродячих псов, Моя геройская академия, Chuga Chara!, Honkai: Star Rail, Хроники элливиоса. Дочь зла, JoJo's Bizarre Adventure, One Piece, Алиса в пограничье, Безумный азарт, Эта фарфоровая кукла влюбилась, zenless zone zero, Demon slayer, Hetalia, Tasogare Otome x Amnesia, Needy Streamer Overload, Благословение небожителей, Reverse:1999, Dark Souls 3 Ashes of Ariandel, Хеталия и страны Оси, Девочка волшебница мадока, Shaman King, Тёмный дворецкий, Монолог Фармацевта, Сейлор Мун, Aespa, BTS, Stray kids",нет,https://anime-conventions.ru/cities/2024.html,Алиса в стране чудес,настольные игры,аниме,-
9/15/2024,9/15/2024,Дубна,KATANA FEST ,"японская культура, икебана, каллиграфия, чаепитие, боевые искусства, косплей, закадровое озвучание, японские традиционные танцы бон-одори под названием Танко-буши, иайдо, игра на барабанах, стрельба из лука, Мейд-кафе, ",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,мастер-классы,-
9/21/2024,9/21/2024,Ульяновск,TestFest v.7.0,"косплей, coverdance",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,Cover-dance
9/28/2024,9/28/2024,Москва,Тянься Фест | Праздник Середины Осени | ,"Праздник Середины Осени, китайская культура, Косплей, Свадьба в китайских традициях, Китайские настольные игры, Благословение небожителей, Разлука Орхидеи и Повелителя демонов, Далекие странники, Хаски и Его Учитель Белый Кот, Расколотая битвой синева небес, Боевой континент 2, Магазинчик ужасов, Система спаси себя сам для главного злодея, Магистр дьявольского культа, Мириады осеней, Геншин импакт, Монолог фармацевта, Светлый Пепел Луны",16+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,настольные игры,-,-
9/29/2024,9/29/2024,Волгоград,Японский ШкАФ ,"компьютерные игры, книги, чайная церемония, косплей, клубная деятельность",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,мастер-классы,-
9/29/2024,9/29/2024,Казань,Второй семейный аниме фестиваль Yokai Matsuri ,"аниме, для всей семьи, косплей, манга, японская, татарская, корейская, азиатская культура, этно-косплей, караоке ",6+,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,караоке
10/5/2024,10/6/2024,Москва,Epic Con Russia ,"косплей, Death Stranding, Diablo, Мортал Комбат, Черепашки-Ниндзя, настольные игры, Just Dance, гаджеты, компьютерные игры, фильмы, комиксы, сериалы, мультфильмы, Epic Dance Battle, Лазертаг, лучный тир, бои на мечах, битвы в Куполе Грома, современное искусство",нет,https://anime-conventions.ru/cities/2024.html,Атака Титанов,настольные игры,комиксы,Just-dance
10/5/2024,10/5/2024,Москва,Аниме Геншин Косплей пати НЯпати ,"Косплей, Аниме,К-поп, Геншин, игры, арм-реслинг, Настольные игры",18+,https://anime-conventions.ru/cities/2024.html,Genshin Impact,настольные игры,аниме,K-pop
10/5/2024,10/5/2024,Набережные Челны,РУБИКОН ФЕСТ ,"гик-культура, косплей, кавер-дэнс, настольные игры, видеоигры, Just Dance, Mortal Kombat 1, The Sims, Arcane, комиксы, Genshin Impact, Hazbin Hotel, ОНО, Магистр дьявольского культа, Великий из бродячих псов, Trigun Stampede, Identity V, Darkest Dungeon, Onmyouji Aren, RE:VERSE",12+,https://anime-conventions.ru/cities/2024.html,Цифровой Цирк,настольные игры,комиксы,Just-dance
10/5/2024,10/5/2024,Пенза,Hikari FEST ,"косплей, азиатская культура, аниме, Cover-dance, гик-культура, МЕЙД-КАФЕ",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,Cover-dance
10/12/2024,10/12/2024,Москва,CONstanta ,"косплей, игры, HoYoversе, Геншин Импакт, Хонкай Стар Рейл",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,-,-
10/13/2024,10/13/2024,Москва,Косплей Аниме К-поп Геншин пати от НЯпати,"Косплей, Аниме,К-поп, Геншин, игры, Настольные игры, танцы",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,настольные игры,аниме,K-pop
10/19/2024,10/19/2024,Екатеринбург,JustGeek,"АНИМЕ, K-POP, COVER DANCE, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,"K-pop, Cover-dance"
10/20/2024,10/20/2024,Москва,ReeFest ,"Косплей, настольные игры, Genshin Impact, Assasin's creed, Fallout, Человек-бензопила, Project Sekai",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,-,-
10/20/2024,10/20/2024,Норильск,GeekOn ,"комиксы, манга, Аниме, сериалы, Кино, видеоигры, анимация, сериалы, косплей, танцы",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,-
10/26/2024,10/26/2024,Архангельск,Yuki Con ,"аниме, игры, косплееры, каверденсеры",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,аниме,Cover-dance
10/26/2024,10/26/2024,Краснодар,Medieval AniFest,"Средневековье, Шрек, косплей, игры, k-pop",нет,https://anime-conventions.ru/cities/2024.html,Шрек,косплей,-,K-pop
10/27/2024,10/27/2024,село Мирное,UME BONFIRE FEST ,"хэллоуин, Бункер, Мафия, настольные игры, косплей",14+,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
11/2/2024,11/2/2024,Самара,Deadline!! Halloween event ,"хэллоуин, косплей, K-POP, cover dance, каллиграфия, сёги, туми иши, рисовый поединок, кендама, цзяньцзы, Клинок, рассекающий демонов, Mineshield, Геншин импакт, Евангелион, Благословение небожителей, Гравити Фолз, Зайчик, Fnaf security breech, Геншин Импакт, For Honor, Let It Die, Оно, Ужасающий, BABYMONSTER, Bendy and the ink machine, FNAF 4, Jennie",12+,https://anime-conventions.ru/cities/2024.html,"Клинок, рассекающий демонов",настольные игры,мастер-классы,K-pop
11/3/2024,11/4/2024,Москва,Hinode x Console Gaming Festival ,"видеоигры, косплей, традиционное искусство Азии, игры на консолях Nintendo, PlayStation и Xbox, для всей семьи",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
11/3/2024,11/3/2024,Ставрополь,Kitsune Fest,"фестиваль азиатской, гик-, поп- и косплей-культуры, языковые лекции, игры, ",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,мастер-классы,-
11/17/2024,11/17/2024,Москва,AnimatiCon,"инди анимация, студия Глитч, Цифровой Цирк, Дроны Убийцы, косплей, настольные игры",нет,https://anime-conventions.ru/cities/2024.html,Цифровой Цирк,настольные игры,-,-
11/23/2024,11/23/2024,Москва,Impact Wave,"косплей, игры вселенной HoYoverse",нет,https://anime-conventions.ru/cities/2024.html,Genshin Impact,косплей,-,-
11/24/2024,11/24/2024,Краснодар,OokamiFest ,Косплей,12+,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
11/24/2024,11/24/2024,Москва,Тогучи ,"косплей, аниме, манга, j-rock, уличная японская мода, фильмы, мультфильмы, книги, комиксы, знаменитости, исторический костюм, авторские костюмы, сценки, танцы, дефиле, караоке, игры со зрителями",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,комиксы,караоке
11/30/2024,11/30/2024,Владивосток,AI! Repeat ,косплей,16+,https://anime-conventions.ru/cities/2024.html,-,косплей,-,-
12/8/2024,12/8/2024,Сочи,Shan-Fest ,"китайская культура, туйшоу, косплей",нет,https://anime-conventions.ru/cities/2024.html,-,косплей,мастер-классы,-
12/20/2024,12/22/2024,Москва,Хомякон ,"Комиксы, косплей, настолки, DnD, аниме, издательство BUBBLE, K-POP, гик-культура, Плюс Студия",нет,https://anime-conventions.ru/cities/2024.html,Майор Гром,косплей,аниме,K-pop
12/22/2024,12/22/2024,Санкт-Петербург,Fantasy Likee Fest ,"соцсеть Likee, игры, Кавер-дэнс, косплей, настолки, ретро-игры",нет,https://anime-conventions.ru/cities/2024.html,-,настольные игры,-,Cover-dance
1/4/2025,1/4/2025,Владимир,ManukeFest Winter ,"Косплей, каверденс, маркет, аллея авторов",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,-
1/11/2025,1/11/2025,Нижний Новгород,FAN FAN ,"Косплей, танцевальные постановки, вокальные выступления, сценические постановки, аллея авторов, файтинг-турниры на игровых консолях, настольные игры, выставка фотокосплея и фан-арта, ярмарка geek-товаров.",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
1/11/2025,1/11/2025,Симферополь,The lil-Fest: Lost in the future 14+,"Косплей, k-pop, игры, торговый холл, конкурсы",14+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,ярмарка,K-pop
1/19/2025,1/19/2025,Москва,Aniworld Fest ,"Косплей, маркет с Anime/K-рор/Geeк товарами, конкурсы, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,K-pop
1/19/2025,1/19/2025,Тула,Yuki no Odori (YnO) 14,"Аниме, игры, косплей, k-pop",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,K-pop
1/25/2025,1/25/2025,Воронеж,Happy Matsuri ,"Аниме, k-pop, игры, сериалы, косплей, ярмарка",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,K-pop
1/25/2025,1/25/2025,Екатеринбург,Yusagi Fest: Christmas Fandom 12+,"Гик и азиатская культура, косплей, конкурсы, кавердэнс, вокал, аллея авторов, ярмарка ",12+,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,Cover-dance
1/26/2025,1/26/2025,Москва,ALIA FEST 16+,"Косплей, вокальные номера, выступления приглашенных артистов, лекции, мастер-классы, тематические фотозоны, аллея авторов, конкурсы, интерактивы ",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
2/1/2025,2/1/2025,Балаково,Лунный Новый Год: Чуньцзе ,"Современная азиатская культура, каверденс, вокал, косплей",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,Cover-dance
2/1/2025,2/1/2025,Екатеринбург,АзияБриз Зима: Магия дружбы 12+,"Косплей, танцы, вокал, мастер-классы, игры, кино, аниме, комиксы, фотозоны ",12+,https://anime-conventions.ru/cities/2025.html,-,настольные игры,комиксы,-
2/1/2025,2/2/2025,Москва,ЛЮБфест ,"Косплей, игры, поп-культура, маркет",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
2/2/2025,2/2/2025,Москва,Фестиваль косплея Тогучи ,"Аниме, манга, j-rock, фильмы, мультфильмы, книги, комиксы, знаменитости, сценки, танцы, дефиле, караоке, игры со зрителями, ярмарка, профессиональные фотозоны",нет,https://anime-conventions.ru/cities/2025.html,-,-,ярмарка,караоке
2/2/2025,2/2/2025,Владивосток,CHERRY FEST 14+,"Гарри Поттер, косплей, ярмарка, конкурсы",14+,https://anime-conventions.ru/cities/2025.html,Гарри Поттер,косплей,ярмарка,-
2/8/2025,2/8/2025,Москва,Hao Fest  ,"Китайская культура, чайная церемония, мастер-классы по каллиграфии и плетению узелков, демонстрация китайской живописи, косплей, фотозоны, мерч, традиционная китайская музыка, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,-
2/9/2025,2/9/2025,Ржев,ASIACon 12+,"Косплей, выступление K-pop cover dance коллективов, ярмарка",12+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
2/15/2025,2/15/2025,Краснодар,Love Masquerade AniFest,"Гик-культура, косплей, игротека, тематическая фотозона, выступления k-pop танцоров, конкурсы, аквагрим",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,K-pop
2/16/2025,2/16/2025,Москва,Love Moscow Cosplay mini-fest,"Косплей, конкурсы, игры в зале, настольные игры, дискотека, гейм зона с Just Dance",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,Just-dance
2/16/2025,2/16/2025,Санкт-Петербург,Hanami fest,"Гейм-зона, интерактивные стенды, лекции, ярмарка, косплей",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,ярмарка,-
2/22/2025,2/22/2025,Миасс,АНИМЕФЕСТ!!!,"Аниме, косплей-шоу, кавер данс",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,аниме,Cover-dance
3/1/2025,3/1/2025,Кемерово,Yori Fest ,"Косплей, аниме, сериалы, фильмы, комиксы, манга, книги, k-pop, конкурсы, выступления, ярмарка, настольные игры",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,комиксы,K-pop
3/1/2025,3/1/2025,Пенза,Higuma ,"Косплей, cover-dance выступления, вокальные номера, ярмарка, аллея авторов, тематическая фотозона",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,Cover-dance
3/2/2025,3/2/2025,Москва,CelestialsFest 14+,"Благословение небожителей, аллея авторов, конкурс косплей дефиле, квест",14+,https://anime-conventions.ru/cities/2025.html,Благословение небожителей,косплей,ярмарка,-
3/16/2025,3/16/2025,Москва,КОНСерва: Врата Бездны,"Genshin Impact, квест",нет,https://anime-conventions.ru/cities/2025.html,Genshin Impact,-,-,-
3/29/2025,3/30/2025,Казань,Fenix,"Японская, американская культура, традиционная япоская кухня, мастер-классы, косплей, фан-арт, караоке",нет,https://anime-conventions.ru/cities/2025.html,-,косплей,мастер-классы,караоке
4/12/2025,4/12/2025,Барнаул,Re:Fest / Renaissance Cosplay & Cover Dance Fest 14+,"Косплей, кавер дэнс, k-pop, аниме, игры, комиксы, ярмарка, интерактивные зоны",14+,https://anime-conventions.ru/cities/2025.html,-,косплей,комиксы,Cover-dance
4/13/2025,4/13/2025,Липецк,Saikoden Con 10+,"Аниме, ярмарка, выступления косплееров, конкурсы, дискотека",10+,https://anime-conventions.ru/cities/2025.html,-,косплей,ярмарка,-
4/19/2025,4/19/2025,Абакан,TeenFest ,"Косплей, cover dance, фотозоны, ярмарка, мастер-классы, свободный микрофон",нет,https://anime-conventions.ru/cities/2025.html,-,настольные игры,аниме,Cover-dance
